week,temp,rainfall,humidity(%)
1,21.3,0,56
2,21.3,0,56
3,21.3,0,56
4,21.3,0,56
5,23.1,0.25,46
6,23.1,0.25,46
7,23.1,0.25,46
8,23.1,0.25,46
9,26.3,0.5,36
10,26.3,0.5,36
11,26.3,0.5,36
12,26.3,0.5,36
13,29,3.25,36
14,29,3.25,36
15,29,3.25,36
16,29,3.25,36
17,29,3.25,36
18,29,3.25,36
19,29.6,10.25,48
20,29.6,10.25,48
21,29.6,10.25,48
22,29.6,10.25,48
23,29.6,10.25,48
24,27.3,30.5,70
25,27.3,30.5,70
26,27.3,30.5,70
27,27.3,30.5,70
28,24.8,52.75,79
29,24.8,52.75,79
30,24.8,52.75,79
31,24.8,52.75,79
32,24.5,32,82
33,24.5,32,82
34,24.5,32,82
35,24.5,32,82
36,24.8,33,78
37,24.8,33,78
38,24.8,33,78
39,24.8,33,78
40,25.5,20.5,64
41,25.5,20.5,64
42,25.5,20.5,64
43,25.5,20.5,64
44,25.5,20.5,64
45,23,6.5,58
46,23,6.5,58
47,23,6.5,58
48,23,6.5,58
49,21.1,1.25,58
50,21.1,1.25,58
51,21.1,1.25,58
52,21.1,1.25,58
